"created_at","screen_name","text","name","location","is_retweet","date"
2019-12-28 21:16:40,"BarackObama","As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little brighter. We’ll start with books today — movies and music coming soon. I hope you enjoy these as much as I did. https://t.co/l5qTGkAPok","Barack Obama","Washington, DC",FALSE,2019-12-28
2019-12-25 00:00:22,"BarackObama","From the Obama family to yours, Merry Christmas! https://t.co/dNfx52AjMN","Barack Obama","Washington, DC",FALSE,2019-12-25
2019-12-23 20:50:19,"BarackObama","On behalf of my family, Chag Sameach and Happy Hanukkah! As Jews around the world celebrate, let the menorah’s light remind us all of the miracles in our own lives.","Barack Obama","Washington, DC",FALSE,2019-12-23
2019-12-19 19:54:31,"BarackObama","2019 was full of moments that show humanity at its best—compassionate, entrepreneurial, determined. And yes, hopeful. Take a look to see for yourself. https://t.co/x0ayOMM04s","Barack Obama","Washington, DC",FALSE,2019-12-19
2019-12-14 16:01:19,"BarackObama","You can get the zen garden next week, but tomorrow is the last day to sign up for health coverage at https://t.co/ob1Ynoesod. This year, most current https://t.co/ob1Ynoesod customers can find an insurance plan with a monthly premium of $10 or less. Get covered today! https://t.co/tPDDSje2ej","Barack Obama","Washington, DC",FALSE,2019-12-14
2019-12-13 18:12:17,"BarackObama","It was remarkable to be back in the Asia-Pacific region with my sister this week, joined by hundreds of talented and optimistic @ObamaFoundation leaders. They’re making their mark on this region—and the whole world—and that's good for all of us. https://t.co/LsBwoZCliF","Barack Obama","Washington, DC",FALSE,2019-12-13
2019-12-13 03:29:19,"BarackObama","My sister Maya and I are about to take the stage at @ObamaFoundation Leaders: Asia-Pacific. We'll be talking about how growing up in this region made us who we are—and the opportunity today's young people have to shape the future. I hope you'll tune in at https://t.co/RobfhErMs1","Barack Obama","Washington, DC",FALSE,2019-12-13
2019-12-10 17:12:50,"BarackObama","I thought it was about time I share my holiday gift list — a few practical items, all $10 or less. The best one? Health care for you or somebody you care about. The deadline to sign up is December 15. Go to https://t.co/ob1Ynoesod and get covered. https://t.co/FCU2sRJeoq","Barack Obama","Washington, DC",FALSE,2019-12-10
2019-12-10 11:10:03,"BarackObama","In Vietnam I had the chance to sit down with some of our @ObamaFoundation leaders and alumni from across the Asia Pacific. From combating climate change in Vietnam to evaluating social impact in Indonesia, they're doing extraordinary work and expanding their impact together. https://t.co/3h2BiVzT2D","Barack Obama","Washington, DC",FALSE,2019-12-10
2019-12-09 18:21:38,"BarackObama","Because of Paul Volcker, our financial system is stronger and safer for the American people. I’ll remember Paul for his consummate wisdom, untethered honesty, and a level of dignity that matched his towering stature. I’m proud to have called him not just an adviser, but a friend. https://t.co/m3zFR6Q0UF","Barack Obama","Washington, DC",FALSE,2019-12-09
